               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064948,            0.023446,            0.095783,            0.013844,             0.99981,            0.023329,            0.015124,            0.033657,            0.010284,            0.093401,            0.070023,           0.0033308,           0.0033308
                   1,            0.039151,            0.015341,            0.093296,            0.017391,                   1,            0.023987,            0.018119,            0.025546,           0.0082775,            0.092553,            0.039891,           0.0065322,           0.0065322
                   2,            0.034244,            0.013457,            0.092842,            0.017814,                   1,            0.027844,            0.022288,            0.022916,           0.0074774,            0.092124,           0.0096267,           0.0096016,           0.0096016
                   3,            0.029673,            0.012217,            0.090274,             0.29188,              0.2573,             0.10939,            0.087471,            0.020829,            0.006863,            0.085517,            0.009406,            0.009406,            0.009406
                   4,            0.028505,            0.011791,            0.080396,             0.15673,             0.65723,             0.22813,             0.18861,            0.019666,           0.0065727,            0.072403,            0.009406,            0.009406,            0.009406
                   5,            0.028076,            0.011468,            0.068524,             0.26202,             0.68479,             0.33598,             0.28072,            0.019048,            0.006311,            0.059418,            0.009208,            0.009208,            0.009208
                   6,            0.028414,             0.01125,            0.057376,             0.34933,             0.82321,             0.42694,             0.35749,            0.019274,           0.0062644,            0.049174,             0.00901,             0.00901,             0.00901
                   7,            0.027706,              0.0109,            0.050354,             0.37762,             0.93345,             0.48156,             0.41134,            0.018798,           0.0060045,            0.043288,            0.008812,            0.008812,            0.008812
                   8,            0.027367,            0.010754,             0.04577,             0.45662,             0.88762,             0.59061,             0.50833,             0.01903,           0.0058621,            0.038609,            0.008614,            0.008614,            0.008614
                   9,            0.027683,            0.010797,            0.041135,             0.63449,             0.89087,             0.77411,             0.66327,            0.019028,           0.0060386,            0.032072,            0.008416,            0.008416,            0.008416
                  10,            0.028107,            0.010807,            0.034519,             0.78488,             0.94559,             0.89923,             0.78141,            0.018445,           0.0059099,            0.023912,            0.008218,            0.008218,            0.008218
                  11,            0.028447,            0.010753,            0.027663,             0.93355,             0.96799,             0.97334,             0.84758,             0.01815,           0.0058155,            0.016689,             0.00802,             0.00802,             0.00802
                  12,            0.028727,            0.010718,            0.022156,             0.98818,             0.99027,             0.99433,             0.86639,            0.018282,           0.0057691,            0.011611,            0.007822,            0.007822,            0.007822
                  13,            0.028448,            0.010673,            0.018703,             0.99313,             0.99416,             0.99468,             0.87843,            0.017669,           0.0055784,           0.0093274,            0.007624,            0.007624,            0.007624
                  14,             0.02807,            0.010581,            0.016899,             0.99456,             0.99491,             0.99489,             0.88455,            0.016991,           0.0055145,           0.0082136,            0.007426,            0.007426,            0.007426
                  15,            0.027251,             0.01033,            0.015487,             0.99591,             0.99605,             0.99489,             0.88596,            0.016587,           0.0053802,           0.0074296,            0.007228,            0.007228,            0.007228
                  16,            0.026551,            0.010122,            0.014453,             0.99624,             0.99751,             0.99497,             0.88973,            0.016165,           0.0052572,           0.0069342,             0.00703,             0.00703,             0.00703
                  17,            0.026289,            0.010139,            0.013871,             0.99661,             0.99731,             0.99496,             0.89492,            0.015785,           0.0051372,           0.0064624,            0.006832,            0.006832,            0.006832
                  18,            0.025535,           0.0098696,            0.012905,             0.99761,             0.99873,             0.99497,             0.89873,             0.01523,           0.0050646,            0.006031,            0.006634,            0.006634,            0.006634
                  19,            0.025085,           0.0098192,             0.01252,             0.99748,             0.99839,             0.99498,             0.90072,             0.01492,           0.0049871,           0.0057368,            0.006436,            0.006436,            0.006436
